Timestamp;Name the one aspect that you want to improve the most about your health or well-being.;Why do you want to improve it?;In your case, what can you try to improve it?;How would you assess if this improves the aspect you named?;What is your gender?;Which country do you live in?;How old are you?;
11.6.2020 15:01:48;Cardio;Out of breath in daily tasks;Go for a run and bike more;Walk the same amount of stairs every day and check how difficult it was;Female;Germany;24;
11.6.2020 15:03:31;healthier nutrition;because I still eat unhealthy very two days;reduce the times of eating unhealthy;Simply by remembering how often I eat unhealthy and compare it to the current count per week;Male;Germany;22;
11.6.2020 15:08:03;I want to be happy for a continuous period of time.;It sucks being sad.;Cherish the good thigns in my life.;"I don't think the question is grammatically correct.
It would be nice, though.";Male;Germany;19;
11.6.2020 15:10:44;Neck-shoulder pain;Because I sit all the time for my computer science studies and it will probably not change over time.;daily training exercises, active breaks, therapy, shorter working times;time-intensive, costly in many aspects;Male;Germany;28;
11.6.2020 15:11:44;General condition;I love trying new sports and want to be fit enough for.;Take swimming lessons to get review and feedback in real world by trainer;When trying new sports, I know wether I am fit enough to take part;Male;Germany;23;
11.6.2020 15:15:07;Less stress;It’s not good for feeling good ;Do less courses in University and be more tolerant to bad results (not so good marks etc.);.;Female;Germany;22;
11.6.2020 15:17:20;Stress Relieve;It has an impact on many other aspects of my general well-being;exercising regularly, clear schedule;quality of sleep, relieve from headaches and overall tiredness, ability to focus;Female;Germany;23;
11.6.2020 15:17:36;being in full control over my energy;to focus and relax better ;"1. improve sleep (e.g. by going to bed earlier); 2. monitor diet; 3. exercise regularly; 4. assure mental health (e.g. meditate); 5. try supplements and other drugs";I use a mobile app called daylio with which I track my mood and activities which in combination are generally indicative over how much control I have over my energy (better mood if I am either active or can relax without worrying about things in my backlog).;Male;Germany;25;
11.6.2020 15:17:56;eating less sugar;it would improve my health and well - being;don't buy sugary things in the first place;reflect on how I feel. physically as well as psychologically;Female;Germany;18;
11.6.2020 15:19:55;my acne;it does look bad and when I start scratching I get scars. ;I can eat healthier (no chips, less fat an milk products) and maintain my skin routine rigorously. ;It is hard and in my view not worth the effort to do it, because the improvement of quality in life I get is smaller than the portion I lose mainly by narrowing down my food choice. ;Male;Germany;19;
11.6.2020 15:22:50;Mental Health;Because it is very important for my health in general and for every day life. Especially as a student mental health is important for such things as focusing or coping with stress.;I can reflect on events that happened today or on how I feel and why, for example write journal. There are also apps that support similar activities, for example the app Intellect or apps for meditation and mindfulness. Or I can talk to family/friends or a doctor.;If I keep writing journal, I can compare the entries. Also I should notice the changes in how I feel every day and how I cope with difficult emotions, situations or stress.;Female;Germany;23;
11.6.2020 15:36:22;Eat healthier;Decrease risk factors;Eat less meat and cook more often;number of meat meals and number of healthy food meals;Male;Germany;25;
11.6.2020 15:45:00;Addiction to sugar / overcoming unhealthy eating habits;to prevent future health complications caused by a poor diet;"Don't buy unhealthy food! (just do it)
Meditate to improve self-control! (Download an app or read a book about meditation and try to incorporate meditation into your daily life)
Follow a healthy diet plan! (Get a healthy diet plan from the internet and follow it, make sure it is balanced enough, if unsure contact a doctor.)";"I don't need another health and well being app!!
I have already all the information at hand! 
For me the only problem is to stick to healthy habits! Maybe I am lacking willpower, maybe I'm lacking motivation.
Eating this chocolate cake today gives me a dopamine boost. I feel better eating my chocolate cake now during this corona era sadness, while future health issues are not that present and I repress them.
Hope I will get out of this rut! ";Male;Germany;24;
11.6.2020 15:51:31;SKin;Acne, sensitivity;drugs, nutrition, going outside;Well if it would be that easy I would not have the problems anymore because I am already trying it;Male;Germany;19;
11.6.2020 15:58:10;Endurance and general fitness;It is supposed to be healthy and it makes a good impression on others;Eat more diverse(and healthy food), more exercise;Less exhausted during small physical activities, less feeling tired;Male;Germany;24;
11.6.2020 16:03:42;Weight;To be healthy & feel confident;Exercise regularly and eat healthier;I would track my weight & get regular doctor check ups to evaluate my overall health.  ;Female;US;41;
11.6.2020 16:21:22;Mental health, specifically emotional well-being;I want to feel better and be more productive. Feeling stressed, overthinking and having self-doubt can get in the way of those two things. ;I think that physical activity such as running, lifting weights, and cycling can reduce stress and improve self-confidence. ;I would plan to regularly do some form of physical activity, and keep track of my mood in a journal, and measure productivity by seeing how much progress I am able to make on to-do lists each week.;Female;US;29;
11.6.2020 16:29:32;daily activity, getting outside more often;"a lot of time inside at the desk due to the new ""lockdown light""";go on a walk or run each day;by knowing I some time of my day somewhere else than my desk;Male;Germany;18;
11.6.2020 16:47:27;Endurance while running;My lifestyle is not healthy;Going for a run at least once a week, try to increase that;Distance run in one session;Male;Germany;20;
11.6.2020 17:11:41;A more active lifestyle;To feel better with my self and with more energy;Having a Sports plan, trying to do a sports routine everyday;If I have more energy to do stuff and I'm more productive;Female;Germany;20;
11.6.2020 17:16:19;Sleep;Because it costs time but is so important for my health;Set fixed times for sleeping, turn off devices, routines, sleep tracking, soft wake up alarm;General feeling of how good I fell in the morning, standardized test for concentration. ;Male;Germany;23;
11.6.2020 17:20:41;food digestion;make life more enjoyable;write down what I eat and when I have complaints, consult doctors;I tried it before but havn't had success;Female;Germany;19;
11.6.2020 17:45:57;Get more muscular ;To look better;Home workouts;By looking at my weight and looks in the mirror.;Male;Germany;19;
11.6.2020 17:49:50;Not getting mad;B/c it’s not healthy ;Stay calm;A lot ;Female;United Arab Emirates;43;
11.6.2020 17:55:04;Time management;To be less stressed;Good time planning, take one step back, say 'no' more often;I would track my habits (e.g. how often did I actually say yes to projects/ responsibilities I don't want to be part of) ;Female;Germany;23;
11.6.2020 17:56:21;I want to visit the docot faster, when something hurts ;because i am waiting to long and injuries didn't go away by just ignoring it;find a doctor who knows me, knows about proffessional sport and is available.;i wouldn't be that long injured;Female;Germany;21;
11.6.2020 18:03:06;My cardiac arrhythmia;Reduce the # of events;Less coffee, medication, less sugar, stress reduction;"I use a special device, the ""1-Button tracker"" to record events.";Male;US;58;
11.6.2020 18:07:28;Headaches ;Because they hinder you from continuing your day normally.;Dring enough water, Sit appropriately, Eat enough,;There should be no headache evolving.;Male;Germany;19;
11.6.2020 18:14:20;More exercise! ;Because if I don’t I feel bad and more stressed out and uncomfortable ;I can create a workout plan every week and try my best to stick to it even if I’m not feeling up to it ;I would assess it by noticing changes in my workouts and when I’m able to increase the amount of times I workout or the intensity of a workout ;Female;Canada;23;
11.6.2020 18:46:08;physical activity;To keep my body function and physical health longer (until higher age) and to feel more energized, strong and agile.;Reserve specific time for exercise and replace current time-consuming activities.;Subjective impression of energy level, but also building muscle strength, weight development.;Male;Germany;23;
11.6.2020 19:20:09;I want to improve my nutrition.;I want to improve it, because it is supposed to help fight my insulin resistance.;According to my doctor I'm supposed to eat less carbohydrates.;I haven't found out, how helpful eating less carbohydrates really is.;Female;Germany;19;
11.6.2020 19:37:12;Mental Health - Anxiety;Self-explanatory;Therapy, philosophy, change your mindset;Noticing it decrease;Male;Germany;25;
11.6.2020 19:57:11;have a mindful state of mind by starting to meditate regulary;i think that it is most important that i am mentaly healthy, in order to be productive, have good and healthy relationships...;i should start meditating regulary;i will notice it by just paying atention to my state of mind or maybe by asking friens for feedback.;Male;Germany;20;
11.6.2020 20:30:06;Regular doctor appointments / checkups;I have a lot of small issues bothering me, but I always think, it might be not enough to see a doctor. But even though I have a chronical desease, my doctor does not check on me.;I could ask for appointments, but they are rare to get;I don't understand the question. I would be happy, if I have a doctor who asks from time to time how I am.;Male;Germany;24;
11.6.2020 22:08:06;sports and motion;because i have the feeling of sitting all days long without going outside;going running on a regular (almost daily) basis and strength training;feeling better in the evening, getting stronger in push ups;Female;Germany;21;
11.6.2020 22:25:13;Blood pressure;At risk for heart disease;Cardio-based exercise.;Lower blood pressure.;Male;Canada ;41;
11.6.2020 23:24:16;Monitor Training Load;Avoid Overtraining;Rest or Work as indicated;Stress and load numbers;Female;US;64;
11.7.2020 0:00:03;Overall health check with metrics I cannot judge, e.g. vitamin deficiency or blood values that are considered as unhealthy;For me, it feels out of control (hard to tell, right?) and I know that during a routine check some deficiencies were detected.;Supply some vitamins or in general make more sports and check nutrition;Recheck blood values?;Male;Germany;27;
11.7.2020 0:29:34;daily exercise like any type of sport;Disease prevention;I need a device like Applewatch to monitor or measure my movement activity;I was able to control my movement activity through my Apple Watch. Example: time limit and increase over time and as a motivation I got a kind of medal;Female;Germany;56;
11.7.2020 4:01:45;Stress levels ;I find myself getting easily overwhelmed and constantly feeling tired ;Taking time off for myself, meditation. ;Maybe measure heart rate, cortisol levels if applicable, or just a mood tracker;Female;Canada ;22;
11.7.2020 5:01:18;Clean , unpolluted environment ;More trees. Less emissions ;Plant and save trees. Move to Clean green energy sources;Less sick time ;Male;Canada ;49;
11.7.2020 7:59:45;Fitness;Not be exhausted at any time during the day;Be active on a regular basis;Compare mood diary entries;Female;Germany;28;
11.7.2020 8:30:42;back pain;it hurts;enough sports, good sleeping position, stretching, yoga, less sitting activities;easiest way would be a rating scale;Male;Germany;27;
11.7.2020 8:47:10;Mood;Feeling sad;Be social,  gratitude;Mood tracker;Female;Germany;25;
11.7.2020 9:30:22;Weight;I feel e little bit uncomfortable in my body ;Do more sports eat health ;Weight ;Female;Germany;24;
11.7.2020 9:32:10;Blood pressure;Because it is to high;Messur it, take the medicine on right time, discussion of the trend with my doctor in intervals ;42;Male;Germany;55;
11.7.2020 11:07:11;Fitness Routine;To feel better and more energetic and to stay healthy;"developing a habit to go jogging/swimming/cycling at least 1-2 times a week; strength workout with own bodyweight at least 2 times a week at home with workout videos ";"feeling better with my body, feeling stronger and more resilient; seeing results in my muscle growth ";Female;Germany;24;
11.7.2020 11:23:24;back and neck pain / stiffness;it's annoying, and rather important for my sitting-heavy profession;Doing sports (at home or in a gym), getting massages, upgrading my workplace to allow more healthy sitting positions;regularly evaluating how bad it feels;Male;Germany;23;
11.7.2020 11:32:12;Peace of mind ;To perform Umra ;To live happily ;By relief my tension ;Female;Pakistan ;53;
11.7.2020 12:50:53;"I want to manage my ""phenotypic (biological) age.""";Age is the most important predictor of morbidity and mortality. It seems a good, comprehensive measure of overall health. Pushing the rationale further, health is a key factor in performance (I use the term very broadly) and wellbeing. Wellbeing is subjective, but ultimately how individuals track the degree to which they are making good use of their lives.;"Right now I'm focused on the blood markers identified by Levine et al. 2018 [Levine ME, Lu AT, Quach A, Chen BH, Assimes TL, Bandinelli S, Hou L, Baccarelli AA, Stewart JD, Li Y, Whitsel EA, Wilson JG, Reiner AP, Aviv A, Lohman K, Liu Y, Ferrucci L, Horvath S. An epigenetic biomarker of aging for lifespan and healthspan. Aging (Albany NY). 2018 Apr 18;10(4):573-591. doi: 10.18632/aging.101414. PMID: 29676998; PMCID: PMC5940111.]  I am also following the MOTS protocol [Maria S, Swanson MH, Enderby LT, D'Amico F, Enderby B, Samsonraj RM, Dudakovic A, van Wijnen AJ, Witt-Enderby PA. Melatonin-micronutrients Osteopenia Treatment Study (MOTS): a translational study assessing melatonin, strontium (citrate), vitamin D3 and vitamin K2 (MK7) on bone density, bone marker turnover and health related quality of life in postmenopausal osteopenic women following a one-year double-blind RCT and on osteoblast-osteoclast co-cultures. Aging (Albany NY). 2017 Jan 26;9(1):256-285. doi: 10.18632/aging.101158. PMID: 28130552; PMCID: PMC5310667.] and haven't found an efficient way of tracking micronutrients. I have been using Cronometer for over a year and it's useful, but could be improved with greater flexibility in customizing values tracked. For instance, I can't easily track Strontium. Finally, I have been working on managing my homocysteine levels to promote brain health. My levels seem erratic, despite focused vit B (6, 12) therapy. ";Since there is a highly exploratory nature to all of this, I would be happy with being able to identify possible relations between behavior (diet, supplement, exercise, sleep) and blood values on the Levine and MOTS markers, as well as homocysteine. Having this data would allow me to experiment with various modeling techniques.;Female;US;66;
11.7.2020 14:08:15;Strength;It might help me improve performance in sports.;Do sports, eat healthly, sleep regularly.;Measure performance in sports.;Male;Germany;24;
11.7.2020 14:16:19;Stop thinking about my master thesis outside of my working hours.;I feel stressed and my minds spins around it all the time, not allowing me to focus/ enjoy other stuff easily. I feel somewhat insecure.;Normally I would do sport. As this is not possible because of Corona I could learn how to meditate.;Keep track on how well i felt per day.;Male;Germany;23;
11.7.2020 15:41:04;Weight;Body health satisfaction, General Health;App-based training programme, Running;"Visual appearance, Scale, How long until ""out of power""?";Male;Germany;25;
11.7.2020 15:54:24;Stress management;I was recently diagnosed with an autoimmune disorder and have seen its correlation with stress. I also just know that stress in general is bad for me and is a response that I can control to an extent. I'm usually pretty high strung and am easily stressed out, and the stress is often from aspects in my life that I can't control. ;"- Focus on the things I can control in my life (my reactions/thoughts/behaviours) over the things I cannot control (life circumstances, other's actions/thoughts) 
- Calming techniques (grounding exercises and general self-care practices)";My overall feelings as well as seeing how my autoimmune disorder is affected (ie: experiencing flare ups or feeling generally well). I know that my autoimmune disorder may also be affected by other factors such as my eating patterns so I need to take that into consideration as well. ;Female;Canada ;22;
11.7.2020 16:24:51;sleep;I seem to cut down on sleep a lot;Prioritise sleep (duration and quality);maybe a tracking app;Female;Germany;23;
11.7.2020 17:01:08;stamina;Most important point of being healthy. My low stamina restricts myself.;go for a run regularly, do sports/ cardio;I think it is the main thing to do and very effective.;Male;Germany;18;
11.7.2020 19:05:20;Fitness/muscle building;I frequently feel unfit and weak stamina;Working out, exercising more frequently, eat healthily, sleep in a schedule;I can feel it in my body mostly;Female;Canada ;21;
11.7.2020 19:49:35;I would like to improve my fitness level. ;I think by achieving a better fitness level you improve your mental health and create a better work life balance. ;I could do workouts more often and could stay motivated by working out together with a friend. ;I do think that the mentioned aspects are helpful for an improvement of my fitness level. Every workout is effective and is liberating myself from day-to-day stress. ;Female;Germany;17;
11.7.2020 19:55:30;fitness;My fitness drastically decreased over the past months due to injury and corona.;working out, jogging, sport ;I should see an improvement in my performance during training or workout, while fitter overall.;Male;Germany;19;
11.7.2020 19:59:06;I want to improve my mental health. ;Because my mental health is affected by daily stress, which is caused by studying and social pressure. ;I can improve my mental health by giving myself time to regenerate, e.g. by doing some yoga.  ;I think taking some time off, in any form, is necessary to cope better with daily stress.   ;Female;Germany;17;
11.7.2020 20:43:19;overall health;low stamina, lot of pain, tiredness, easy to get sick;eating habit, try to work out (slowly because pain);less pain, more energy, less sick;Female;Germany;26;
11.7.2020 21:16:15;mental;it will improve my quality of life;seek help, educate myself;if any concerns alleviate ;Female;Canada ;20;
11.8.2020 0:29:38;As I approach age 60, I'm not trying to improve anything, but I want to maintain my health (especially my ability to run long distances at reasonable speed) for decades to come.;I want to maintain good health and mobility until I am ancient, then die rather suddenly when two or more illnesses and/or injuries conspire to end my existence.;I run a specific eight mile route many times each year, monitoring my speed and heart rate. I have been doing this for ten years now. I try to always run a variety of routes at least twice a week, preferrably 3x, sometimes 4 or 5x. I also try to run approximately one marathon per year. I do other exercises if there's too much snow on the ground to safely run.;"Over the years, my speed has varied somewhat, but is currently somewhat lower than ten years ago. I intend to work on getting faster again in 2021. Also, my maximum heart rate on my run is slightly lower on average than ten years ago. I don't know what can be done about that. I want my heart rate to stay above zero. ;-)";Male;US;59;
11.8.2020 12:19:28;Staying healthy, and a good muscular building;To stay healthy ;Doing some Workouts, Healthy eating;Well, really good if it really improve the aspects ;Male;Germany;25;
11.8.2020 12:31:39;Healthy eating/cooking;A lot to improve on from my side and saving money ;Not being lazy, not being scared to try, being willing to accept possible bad outcomes, and maybe also a book or a teacher to learn from ;By the taste, plus the feeling of satisfaction it provides and improvement of my physical fitness in terms of fat reduction ;Male;Germany;26;
11.8.2020 13:07:38;Gain more weight;Because my family and I both think, that I look unhealthy and too skinny ;Eat more often, go to a gym, maybe sleep more;I don’t think I’m getting this right, but I’d be happy, that I’ll maybe be stronger, or more confident, when going to the beach e.g.;Male;Germany;24;
11.8.2020 15:32:52;Getting back lost hairs;To improve self esteem ;Try herbs, surgery etc;By noticing change in mood;Other;Jamaica;25;
11.8.2020 21:11:51;stop smoking;because smoking kills;just stop it;check if i don't smoke anymore;Male;Germany;25;
11.8.2020 21:56:45;Physical strength;So I can bike faster and feel healthier.;Exercise more, and more regularly;Just feeling, mainly;Male;Germany;25;
11.9.2020 8:56:48;Fitness;healthier life, more healthy when older;"go running; healthier eating, diet";"Better feeling; weight loss";Male;Germany;18;
11.9.2020 13:34:34;Christian faith;Because I believe that a stronger faith leads to better actions and has an eternal impact;"- Read the Bible (2 pages per day)
- Read online articles and watch videos that explain the Bible (e.g., Crosspaint)
- Attend worships (in my case, via YouTube (erlebt - Kirche für Potsdam))
- Attend events of Hochschul-SMD Potsdam
- Talk about my personal connection to Jesus
- Pray
- Sing (in a gospel choir)
- Mindfulness meditation (1-3x 20 - 40 min per day)
- Meditate about love (1x 20 - 40 min per day)";"Do I feel more love?
Do I feel more confident?
Do I help others more often?
Does it get easier for me to help others?
How many pages of the Bible have I read?
How many questions about the Bible do I have?
How many answers to these questions have I found?
Does it get easier for me to talk about faith?
Do I have more deep conversations about faith?
Do people come to me with questions or want to talk about faith?";Male;Germany;24;
11.9.2020 15:50:39;Lungs;Bec i have ashma;Beside exercise..medicine..i want to know other things to heal ashma;If i can know some way to improve asthma without relying on chemicals;Female;Indonesia ;57;
11.9.2020 16:18:51;Blood circulation;Since whenever I wake up in the morning my fingers stiff, difficult to move it;I have consulted to a doctor, checked my blood, everything looks ok. Beside exercising, now I'm drinking herbs like ginger etc.;Easy to move my whole body, each and every part, like my fingers, my hands, my feet;Male;Indonesia ;56;
11.9.2020 18:12:17;Cholesterol & diabetes;Lower down my trygelserit & blood suger;Exercise and diet;Cut eat out, push to exercises, cut junk food;Male;US;57;
11.9.2020 19:15:06;Eating habits while cooking for myself;Heavy reliance on processed foods (EDEKA Gut & Günstig);Taking more time to prepare food, reducing the effort of finding recipes to prepare;In the aforementioned way my diet would consist of pre-prepared meals far less often, and thus induce a healthier lifestyle;Male;Germany;18;
11.10.2020 17:29:45;Joint Pain (Fitness);It hurts;Stretching, exercise, not sitting so much in front of a PC;Less pain, ideally a daily task + observation :P;Male;Germany;25;
11.10.2020 18:12:09;Reduce Stress;I get Tinitus from to Much stress;"Reduce Activitys (fokus on what is important); Meditate";Journal Emotions and Symptoms;Female;Germany;18;
11.10.2020 18:56:11;Mental Health;Because I believe it's easy to ignore in favor of physical health.;Meditation, Introspection, regular physical exercise;I will feel more upbeat and better equipped to go about my day.;Male;Germany;32;
11.10.2020 23:07:09;Knowing more about it, more check ups and preventions;Sometimes I feel pain or weird things in my body and I don't know whether to worry about or not;going to every doctor regulary;Being clear about my health, trusting the doctors;Male;Germany;22;
11.11.2020 16:13:58;Endurance ;To be more powerful ;More sports ;More movement leads to a better endurance ;Female;Germany;21;
11.11.2020 16:21:02;To be overall healthy;To live a long life ;"Eat healthy and plantbased 
Be active at least take a walk everyday ";If I feel good and aren't sick on the reugular;Female;Germany;20;
11.11.2020 16:24:18;My weight ;To feel better in my own body and in general to be fitter ;Change my diet and include more sports in my daily life ;I think it will take time until you recognize a change when you loose weight but when you continue you will see your body changing and you will feel more powerful in doing your daily life tasks, even when it’s just taking the stairs without feeling out of breath ;Female;Germany;20;
11.11.2020 16:50:10;Do more physical activity;It would be great to get more movement and stay fit, especially in Covid times, when common sports activities like playing volleyball are not possible.;"- drive more bike in everyday situations like visiting someone
- do more at home sports (even if it isn't really motivating)
- set goals and be more engaged
- social integration? (like doing it with a friend)";This is rather tricky, since it is hard to measure fitness without committing to a specific test or metric like VO2max. I would rather go for a feeling of fitness and the ease of doing certain activities like riding bike fast.;Male;Germany;23;
11.11.2020 20:39:13;Drug dependency;Integrity + anxiety;Taper;Not worrying about having to ;Female;US;23;
11.11.2020 20:45:51;My energy levels;I find that my energy levels fluctuate quite a bit. Some days I’ll have all the energy in the world and feel unstoppable, while other days I’ll barely be able to keep my eyes open while I work. I know this is at least partially due to the quality of my sleep, which also changes.;Practice better sleep hygiene/routines, exercise more, make some changes to my diet (ie cutting down on sugar, caffeine, alcohol, etc);I would probably want to give the changes at least a month or so before assessing if they’ve made a difference in my energy levels. I think I’d know pretty definitively if the changes work because I’d notice a positive change in my energy levels in general.;Female;Canada ;31;
11.11.2020 20:53:05;immune-system;I feel that it could be better, I often have minor infections;maybe consume more vitamin c,  and/or ginger;sorry, I don't understand the question. In case you wan't to know how happy I would be if eating more ginger improved my immune system: quite.;Female;Austria;30;
11.11.2020 21:31:20;less anxiety;to be more relaxed;not sure, more perspective maybe;less anxiety;Female;France;31;
11.11.2020 21:43:20;mental health;so i can be happier;therapy, medication;it has greatly improved my mental health already, and i expect to see more improvement in the future;Female;US;16;
11.11.2020 22:54:55;Weight and cardio;Because I am fat and can't run for long;Eat less and run more;By losing weight and being able to run longer.;Male;US;30;
11.12.2020 0:20:06;eating habits;I'm a picky eater and the foods I like tend to be unhealthy;I try to try more foods, but typically gag or chicken out;"I have to relflect on previous weeks to say ""oh yeah, I improved here""";Female;US;29;
11.12.2020 1:22:46;Overall strength;Chronic pain;Physical therapy, willpower,;I don't feel pain 24/7. I have a few minutes or hours of relief a day;Female;US;34;
11.12.2020 1:47:21;Weight loss;It would be beneficial to my health to drop a few pounds, and it would make me feel better about myself.;Eat smaller portions, don't eat late at night, and exercise more often.;If I loose weight.;Male;US;20;
11.12.2020 4:02:40;self-discipline;To achieve my goals;Accountability journal, metrics tracking of task progression/completion, building healthy habits;Measuring key performance indicators (whether or not I reached my goal, frequency of goal completion, and evidence of habit formation);Female;Canada ;26;
11.12.2020 4:02:44;sleep;for stable mood/energy;many things;keep track of self mood/energy and compare with pre-experiment time;Male;US;32;
11.12.2020 6:20:33;my eye;it’s fucked;I’m pretty sure it’s something I have to get surgery for, and I could just go blind if they fuck it up;well if it’s fixed, I’ll be able to see it real well;Male;US;22;
11.12.2020 9:51:48;Mind;It's always bad and insecure.;Try to think happy things.;Through my feelings;Male;Indonesia ;25;
11.12.2020 11:46:50;Preventative measures and checks;I want to stay healthy and active up until old age and detect and tackle illness before it becomes a serious problem. ;Healthy lifestyle (sport, diet, ...) + regular screenings with doctor;"Subjective feeling of ""feeling good"", consistent good athletic performance, consistent good screening results over the years (blood work, ekg, ...)";Male;Germany;25;
11.12.2020 13:16:49;mindfulness;I feel unmotivated and depressed;do more sports, meditate;if i feel better;Male;Germany;30;
11.12.2020 14:05:28;Stable mental health;Ups and downs are exhausting and difficult to manage or impossible to get used to;medication, therapy, meditation, mindfulness, movement;observing how i feel from day to day, observing how i react in triggering situations, overall feeling, productivity levels, happiness;Female;Germany;26;
11.12.2020 14:11:33;Reduce sitting for long times or find a counter balance for that;A day of work often results in lower back pain even though i got a massaging pillow;"Try standing work
Stand up and strecht regularly
Use a yoga ball to sit";If it prevents lower back pain and leaves me  less tense;Male;Germany;21;
11.12.2020 14:39:36;Feeling stressed out less often/reducing mental load;Because feeling stressed takes a lot of energy, which is then missing elsewhere;"Meditation 
""Achtsamkeitsübungen"" 
Journaling 
Sorting and delegation of tasks
""Me-time""";Feeling better, less tired;Female;Germany;29;
11.12.2020 14:48:18;be less fat;so I don't die of a heart attack at 45;improve diet, exercise;getting to a healthy weight;Male;US;40;
11.12.2020 15:31:37;Lose weight ;It would do me good;Eat less, exercise more;Track progress ;Female;Finland ;31;
11.12.2020 18:07:35;Weightlos;Because I eat healthy and somehow always have troubles loosing weight;exercise (cardio exercise usually work best or interval training workouts), better meal planning, reduce stress (already trying a meditation app called Balance);Weight balance;Female;Germany;32;
11.12.2020 19:51:25;age well;keep active and doing sport all my life injury free;current sleep, exercise, food, water, music, all that makes up life;Horvath clock analysis;Male;United Kingdom;47;
